編號,序號,事業單位統一編號,事業單位,行業別,災害類型,罹災人數（數量）,業主,業主統一編號,工程名稱,場所（肇災處）,縣市,地址,勞動檢查機構,年度,發生日期,是否顯示於地圖,agencyCode
155,155,,辰原室內裝修有限公司,F營造業(其他專門營造業),墜落、滾落,1,臺中市政府社會局,,臺中市公設民營龍井龍津國小托嬰中心、外埔馬鳴托嬰中心整修工程,臺中市外埔區馬鳴活動中心,2272,外埔區大馬路2號,臺中市勞動檢查處,2023,2023-07-16,是,07
156,156,38788767,陳OO(即景復企業社),F營造業(庭園景觀工程業),溺斃,1,中華特區社區管理委員會,20420249,景觀造景維護,雲林縣虎尾鎮興南里興南919號（中華特區社區污水廠之沉澱池）,2275,雲林縣虎尾鎮興南里興南919號,勞動部職業安全衛生署中區職業安全衛生中心,2023,2023-07-15,是,02
157,157,,欣群營造有限公司,F營造業(道路工程業),衝撞,1,,,王○○菜園整地作業,臺中市和平區福壽路26號,2272,,臺中市勞動檢查處,2023,2023-07-14,否,07
158,158,,朱OO,F營造業(建物完工裝修工程業),墜落、滾落,1,欣宜建設有限公司,,欣宜建設有限公司等一人22戶住宅新建工程,自B1戶外牆第3層施工架(高度約3.4公尺),2272,臺中市烏日區三榮十八路1號後方,臺中市勞動檢查處,2023,2023-07-14,是,07
159,159,89982791,義力營造股份有限公司,F營造業(其他土木工程業),與有害物等之接觸,1,臺中市政府地政局,10927459,臺中市第13期市地重劃工程整合標,臺中市南屯區永春東二路與永順路交叉口附近，沿永春東二路往南約30公尺處A10人孔,2272,,臺中市勞動檢查處,2023,2023-07-13,否,07
160,160,86811112,億東營造股份有限公司,F營造業(其他土木工程業),墜落、滾落,1,民凱建設股份有限公司,86251390,"（108 建 171）民凱建設民和街集合住宅新建
工程",於工區Ｂ棟南側車道口施工架上墜落,2266,臺北市萬華區民和街 109 號對面,臺北市勞動檢查處,2023,2023-07-12,是,04
161,161,19746319,陳敏初(即正威汽車電機行),S其他服務業(汽車維修業),被夾、被捲,1,恒林木業有限公司,27919833,貨車維修作業,恒林木業有限公司,2267,新北市林口區後湖路56之6,新北市政府勞動檢查處,2023,2023-07-12,是,05
162,162,,臺灣湯淺電池股份有限公司,C製造業(電池製造業),衝撞,1,,,,廠區道路,2283,冬山鄉龍祥八路二號,勞動部職業安全衛生署北區職業安全衛生中心,2023,2023-07-11,是,01
163,163,,中美嘉吉股份有限公司台中飼料廠,C製造業(動物飼品製造業),被撞,1,,,,,2272,,臺中市勞動檢查處,2023,2023-07-11,否,07
164,164,U120187195,黃○○,F營造業(整地、基礎及結構工程業),感電,1,李○○,,花蓮縣鳳林鎮平生路民宅車庫及雨遮工程,民宅車庫,2282,,勞動部職業安全衛生署北區職業安全衛生中心,2023,2023-07-10,否,01
